source,entity_label,entity_text,count
kaggle,LOC,kelowna (canada),41
kaggle,GPE,missoula,41
kaggle,GPE,boca raton,41
kaggle,LOC,missoula,41
kaggle,LOC,boca raton,41
kaggle,GPE,akron,41
kaggle,GPE,edmonds,41
kaggle,GPE,reading,41
kaggle,LOC,orange,41
kaggle,LOC,independence,40
kaggle,LOC,st. paul,40
kaggle,LOC,spring hill,40
kaggle,GPE,st. paul,40
kaggle,LOC,stockton,40
kaggle,GPE,stockton,40
kaggle,DATE,1996,40
kaggle,LOC,melbourne (vic&#44 australia),40
kaggle,LOC,katy,40
kaggle,LOC,tallahassee,40
kaggle,GPE,spring hill,40
kaggle,GPE,tallahassee,40
kaggle,GPE,melbourne (vic&#44 australia),40
kaggle,GPE,independence,40
kaggle,GPE,katy,40
kaggle,GPE,dover,39
kaggle,LOC,fort lauderdale,39
kaggle,LOC,durham,39
kaggle,LOC,montgomery,39
kaggle,LOC,prescott,39
kaggle,LOC,hamilton,39
kaggle,GPE,covington,39
kaggle,LOC,dover,39
kaggle,GPE,napa,39
kaggle,LOC,mississauga (canada),39
kaggle,LOC,covington,39
kaggle,LOC,murfreesboro,39
kaggle,GPE,prescott,39
kaggle,GPE,flagstaff,39
kaggle,GPE,fort lauderdale,39
kaggle,LOC,flagstaff,39
kaggle,GPE,hamilton,39
kaggle,GPE,mississauga (canada),39
kaggle,GPE,montgomery,39
kaggle,LOC,napa,39
kaggle,GPE,murfreesboro,39
kaggle,GPE,durham,39
kaggle,DATE,1974,38
kaggle,LOC,federal way,38
kaggle,GPE,sydney (nsw&#44 australia),38
kaggle,GPE,temecula,38
kaggle,LOC,lansing,38
kaggle,LOC,ocean city,38
kaggle,GPE,bradenton,38
kaggle,LOC,harrisburg,38
kaggle,GPE,allentown,38
kaggle,LOC,santa ana,38
kaggle,GPE,lansing,38
kaggle,GPE,santa ana,38
kaggle,LOC,allentown,38
kaggle,GPE,federal way,38
kaggle,GPE,bozeman,38
kaggle,LOC,sydney (nsw&#44 australia),38
kaggle,LOC,temecula,38
kaggle,GPE,harrisburg,38
kaggle,LOC,bradenton,38
kaggle,LOC,bozeman,38
kaggle,GPE,ocean city,38
pursue,OBJECT_SHAPE,light,38
kaggle,DATE,1970,37
kaggle,DATE,1967,37
kaggle,ORG,nasa,37
kaggle,LOC,plano,37
kaggle,LOC,fontana,37
kaggle,GPE,milton,37
kaggle,GPE,south bend,37
kaggle,GPE,fontana,37
kaggle,LOC,milton,37
kaggle,LOC,south bend,37
kaggle,LOC,bend,37
kaggle,LOC,georgetown,37
kaggle,GPE,bend,37
kaggle,LOC,pueblo,37
kaggle,GPE,mansfield,37
kaggle,GPE,pueblo,37
kaggle,GPE,plano,37
kaggle,LOC,mansfield,37
kaggle,GPE,georgetown,37
kaggle,LOC,fort smith,36
kaggle,LOC,san marcos,36
kaggle,GPE,san marcos,36
kaggle,GPE,winchester,36
kaggle,LOC,new york city (queens),36
kaggle,LOC,coral springs,36
kaggle,LOC,decatur,36
kaggle,LOC,lakeland,36
kaggle,GPE,lakeland,36
kaggle,LOC,saskatoon (canada),36
kaggle,GPE,port angeles,36
kaggle,GPE,sydney (australia),36
kaggle,GPE,prescott valley,36
kaggle,GPE,o&#39fallon,36
kaggle,GPE,fort smith,36
kaggle,LOC,winchester,36
kaggle,GPE,coral springs,36
kaggle,GPE,clearwater,36
kaggle,DATE,1977,36
kaggle,LOC,port angeles,36
kaggle,GPE,green bay,36
kaggle,GPE,new york city (queens),36
kaggle,LOC,prescott valley,36
kaggle,GPE,decatur,36
kaggle,LOC,clearwater,36
kaggle,LOC,baton rouge,36
kaggle,GPE,saskatoon (canada),36
kaggle,LOC,o&#39fallon,36
kaggle,LOC,green bay,36
kaggle,GPE,baton rouge,36
kaggle,LOC,sydney (australia),36
kaggle,GPE,davenport,35
kaggle,GPE,lawrence,35
kaggle,LOC,olathe,35
kaggle,LOC,woodbridge,35
kaggle,LOC,woodland,35
kaggle,GPE,chattanooga,35
kaggle,GPE,port st. lucie,35
kaggle,LOC,billings,35
kaggle,LOC,dublin,35
kaggle,LOC,windsor,35
kaggle,LOC,lawrence,35
kaggle,GPE,windsor,35
kaggle,GPE,glasgow (uk/scotland),35
kaggle,GPE,grand junction,35
kaggle,GPE,dublin,35
kaggle,LOC,chattanooga,35
kaggle,LOC,glasgow (uk/scotland),35
kaggle,GPE,billings,35
kaggle,GPE,woodbridge,35
kaggle,GPE,topeka,35
kaggle,LOC,port st. lucie,35
kaggle,GPE,woodland,35
kaggle,DATE,1973,35
kaggle,GPE,anderson,35
kaggle,LOC,davenport,35
kaggle,ORG,faa,35
kaggle,GPE,olathe,35
